Title,Environments,Aliases,Owners,Primary URL (Site folder name),Department,Notes
Leopoldd Research Group,"test, prod","leopoldd.stg.umn.edu, leopoldd.dev.umn.edu, leopoldd.dl9.umn.edu",schul132,leopoldd.chem.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Blank Research Group in Chemistry,"test, prod","blank.stg.umn.edu, blank.dev.umn.edu, blank.dl9.umn.edu","blank, schul132",blank.chem.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Ellis Teaching Page,"dev, test, prod","ellis.stg.umn.edu, ellis.dev.umn.edu, ellis.dl9.umn.edu",schul132,ellis.chem.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
MPACT Program,"dev, test, prod","mpact.stg.umn.edu, mpact.dev.umn.edu, mpact.dl9.umn.edu",schul132,mpact.chem.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Opitz Lab,"test, prod","opitzlab.stg.umn.edu, opitzlab.dev.umn.edu, opitzlab.dl9.umn.edu",mcdo0486,opitzlab.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
CEMS Graduate Students Committee,prod,"gsc-cems.dev.umn.edu, gsc-cems.stg.umn.edu",mcdo0486,gsc.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Derby Workshop,"test, prod","iwmcg-9.stg.umn.edu, iwmcg-9.dev.umn.edu, iwmcg-9.dl8.umn.edu, iwmcg-9.cems.umn.edu",mcdo0486,iwmcg-9.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Polymer Self-Consistent Field Theory (PSCF),prod,"pscf-home-cems.dev.umn.edu, pscf-home-cems.stg.umn.edu, pscf.cems.umn.edu, pscf-home.cems.umn.edu",morse012,pscf-home.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
CSE 1012,prod,"cse1012-cems.dev.umn.edu, cse1012-cems.stg.umn.edu",mcdo0486,cse1012.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
BME Women Grad Group,prod,"gradwomen.bme.umn.edu, gradwomen.dev.umn.edu","mcdo0486, cummi488",gradwomen.bme.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Fund for Renewable Research,"test, prod","frr.umn.edu, www.frr.umn.edu, frr.dev.umn.edu",mcdo0486,frr.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Nibs-workshop,prod,"nibs-workshop.dev.umn.edu, nibs-workshop.umn.edu",mcdo0486,nibs-workshop.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Ellison Research Group,"test, prod","ellison.dl8.umn.edu, ellison.stg.umn.edu",mcdo0486,ellison.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Neurock Research Group,"test, prod","neurock.dl8.umn.edu, neurock.dev.umn.edu, neurock.stg.umn.edu",mcdo0486,neurock.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Hackel Research Group,"test, prod","hackel.dl8.umn.edu, hackel.stg.umn.edu","mcdo0486, mulli468",hackel.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Rheology Short Course,"test, prod","rheology.dl8.umn.edu, rheology.dev.umn.edu, rheology.stg.umn.edu",mcdo0486,rheology.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
leighton Research Group,"test, prod","leighton.dl8.umn.edu, leighton.dev.umn.edu, leighton.stg.umn.edu, leighton.cems.umn.edu",mcdo0486,leighton.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
cogs Research Group,"test, prod","cogs.dl8.umn.edu, cogs.stg.umn.edu",mcdo0486,cogs.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
macosko Research Group,"test, prod","macosko.dl8.umn.edu, macosko.stg.umn.edu, macosko.dev.umn.edu",mcdo0486,macosko.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Poerschke Research Group,"test, prod","poerschke.dl8.umn.edu, poerschke.dev.umn.edu, poerschke.stg.umn.edu",mcdo0486,poerschke.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Softmatter Research Group,"test, prod","softmatter.dl8.umn.edu, softmatter.dev.umn.edu, softmatter.stg.umn.edu",mcdo0486,softmatter.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Dorfman Research Group,"dev, test, prod","dorfman.dl8.umn.edu, dorfman.stg.umn.edu, dorfman.dev.umn.edu, dorfman.cems.umn.edu","mcdo0486, dorfman",dorfman.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
birol Research Group,"test, prod","birol.dl8.umn.edu, birol.stg.umn.edu, birol.cems.umn.edu",mcdo0486,birol.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Jalan Research Group,"test, prod","jalan.dl8.umn.edu, jalan.stg.umn.edu",mcdo0486,jalan.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Frisbie Research Group,"test, prod","frisbie.dl8.umn.edu, frisbie.stg.umn.edu",mcdo0486,frisbie.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Zasadzinski Research Group,"test, prod","zasadzinski.dl8.umn.edu, zasadzinski.dev.umn.edu, zasadzinski.stg.umn.edu",mcdo0486,zasadzinski.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Morse Research Group,"test, prod","morse.dl8.umn.edu, morse.dev.umn.edu, morse.stg.umn.edu",mcdo0486,morse.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Holmes Research Group,"test, prod","holmes.dl8.umn.edu, holmes.stg.umn.edu",mcdo0486,holmes.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Hu Research Group,"test, prod","hu.dl8.umn.edu, hu.stg.umn.edu, hugroup.cems.umn.edu",mcdo0486,hu.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Derby Research Group,"test, prod","derby.dl8.umn.edu, derby.stg.umn.edu",mcdo0486,derby.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
cheng Research Group,"test, prod","cheng.dl8.umn.edu, cheng.stg.umn.edu",mcdo0486,cheng.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
calabrese Research Group,"test, prod","calabrese.dl8.umn.edu, calabrese.stg.umn.edu, calabrese.cems.umn.edu",mcdo0486,calabrese.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Azarin Research Group,"test, prod","azarin.dl8.umn.edu, azarin.stg.umn.edu",mcdo0486,azarin.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
cbt Research Group,"test, prod","cbt.dl8.umn.edu, cbt.stg.umn.edu, cbt.cems.umn.edu",mcdo0486,cbt.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Flannigan Research Group,"test, prod","flannigan.dl8.umn.edu, flannigan.stg.umn.edu",mcdo0486,flannigan.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Kumar Research Group,"test, prod","kumar.dl8.umn.edu, kumar.stg.umn.edu, kumar.cems.umn.edu",mcdo0486,kumar.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Material Research Group,"test, prod","material.dl8.umn.edu, matadv.stg.umn.edu, matadv.dev.umn.edu, matadv.cems.umn.edu",mcdo0486,material.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
McCormick Research Group,"test, prod","mccormick.dl8.umn.edu, mccormick.stg.umn.edu, mccormick.dev.umn.edu",mcdo0486,mccormick.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
sfa Research Group,"dev, test, prod","sfa.dl8.umn.edu, sfa.stg.umn.edu, sfa.dev.umn.edu",mcdo0486,sfa.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Mara Research Group,"test, prod","mara.dl8.umn.edu, mara.stg.umn.edu, mara.dev.umn.edu",mcdo0486,mara.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Grads Research Group,"test, prod","grads.dl8.umn.edu, grads.stg.umn.edu, women-grads.cems.umn.edu",mcdo0486,grads.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
dauenhauer Research Group,"test, prod","dauenhauer.dl8.umn.edu, dauenhauer.stg.umn.edu",mcdo0486,dauenhauer.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
cpfp Research Group,"test, prod","cpfp.dl8.umn.edu, cpfp.stg.umn.edu",mcdo0486,cpfp.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Qizh Research Group,"test, prod","qizh.dl8.umn.edu, qizh.dev.umn.edu, qizh.stg.umn.edu, qizh.cems.umn.edu",mcdo0486,qizh.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Francis Research Group,"test, prod","francis.dl8.umn.edu, francis.stg.umn.edu",mcdo0486,francis.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
lodge Research Group,"test, prod","lodge.dl8.umn.edu, lodge.dev.umn.edu, lodge.stg.umn.edu",mcdo0486,lodge.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
bhan Research Group,"test, prod","bhan.dl8.umn.edu, bhan.stg.umn.edu",mcdo0486,bhan.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Ferry Research Group,"test, prod","ferry.dl8.umn.edu, ferry.stg.umn.edu",mcdo0486,ferry.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
daoutidis Research Group,"test, prod","daoutidis.dl8.umn.edu, daoutidis.stg.umn.edu",mcdo0486,daoutidis.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Bates Research Group,"test, prod","bates.dl8.umn.edu, bates.stg.umn.edu",mcdo0486,bates.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Self-Aligned Capillarity Assisted Lithography for Electronics (SCALE),prod,scale.cems.umn.edu,mcdo0486,scale.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
Martiniani Research Group,prod,martiniani.cems.umn.edu,mcdo0486,martiniani.cems.umn.edu,CSE - CEMS - Chemical Engineering & Materials Sci,
GSWC,"test, prod","gswc.stg.umn.edu, gswc.dev.umn.edu, gswc.dl9.umn.edu",schul132,gswc.chem.umn.edu,CSE - CHEM - Dept of Chemistry,
Wayne Gladfelter Research Group,"test, prod","gladfelter.stg.umn.edu, gladfelter.dev.umn.edu, gladfelter.dl9.umn.edu","wlg, schul132",gladfelter.chem.umn.edu,CSE - CHEM - Dept of Chemistry,
Chemistry Advising,"test, prod","advise.stg.umn.edu, advise.dev.umn.edu, advise.dl9.umn.edu",schul132,advise.chem.umn.edu,CSE - CHEM - Dept of Chemistry,
Topczewski Research Group,"test, prod","topczewski.stg.umn.edu, topczewski.dev.umn.edu, topczewski.dl9.umn.edu",schul132,topczewski.chem.umn.edu,CSE - CHEM - Dept of Chemistry,
Cramer Research Group,"test, prod","cramer.stg.umn.edu, cramer.dev.umn.edu, cramer.dl9.umn.edu",schul132,cramer.chem.umn.edu,CSE - CHEM - Dept of Chemistry,
Pomerantz Research Group,"test, prod","pomerantz.stg.umn.edu, pomerantz.dev.umn.edu, pomerantz.dl9.umn.edu, pomerantz.chem.umn.edu","schul132, buchh112",pomerantz.umn.edu,CSE - CHEM - Dept of Chemistry,
Carlson Research Group,"test, prod","carlson.stg.umn.edu, carlson.dev.umn.edu, carlson.dl9.umn.edu",schul132,carlson.chem.umn.edu,CSE - CHEM - Dept of Chemistry,
Bhagi-Damodaran Research Group,"test, prod","bhagi-damodaran.stg.umn.edu, bhagi-damodaran.dev.umn.edu, bhagi-damodaran.dl9.umn.edu",schul132,bhagi-damodaran.chem.umn.edu,CSE - CHEM - Dept of Chemistry,
Tonks Research Group,"test, prod","tonks.stg.umn.edu, tonks.dev.umn.edu, tonks.dl9.umn.edu","itonks, schul132",tonks.chem.umn.edu,CSE - CHEM - Dept of Chemistry,
Hillmyer Group,"test, prod","hillmyergroup.stg.umn.edu, hillmyergroup.dev.umn.edu","schm2687, schul132",hillmyer.chem.umn.edu,CSE - CHEM - Dept of Chemistry,
ACS UMN Student Chapter,prod,"acs.stg.umn.edu, acs.dev.umn.edu, acs.dl9.umn.edu",schul132,acs.chem.umn.edu,CSE - CHEM - Dept of Chemistry,
Gwendolyn A. Bailey Research Group,"dev, test, prod","bailey-chem.dev.umn.edu, bailey-chem.stg.umn.edu","schul132, gbailey",bailey.chem.umn.edu,CSE - CHEM - Dept of Chemistry,
Pierre Research Group,"test, prod","pierre.stg.umn.edu, pierre.dev.umn.edu, pierre.dl8.umn.edu","rapa0020, schul132",pierre.chem.umn.edu,CSE - CHEM - Dept of Chemistry,
Science Mentorship Program,"test, prod","scimentors.stg.umn.edu, scimentors.dev.umn.edu, scimentors.dl8.umn.edu",pratx001,scimentors.chem.umn.edu,CSE - CHEM - Dept of Chemistry,
The Siepmann Group,"test, prod","siepmann.dl8.umn.edu, siepmann.stg.umn.edu, siepmann.dev.umn.edu","rapa0020, schul132, zeeb0002",siepmann.chem.umn.edu,CSE - CHEM - Dept of Chemistry,
Truhlar Research Group,"dev, test, prod","truhlar.dl8.umn.edu, truhlar.stg.umn.edu, truhlar.dev.umn.edu","schul132, zhan6350",truhlar.chem.umn.edu,CSE - CHEM - Dept of Chemistry,
Generic Chemistry Research,prod,template.chem.umn.edu,schul132,template.chem.umn.edu,CSE - CHEM - Dept of Chemistry,
AV Teleoperation,"test, prod","avteleoperation.dev.umn.edu, avteleoperation.prd.umn.edu","zhang089, gurum021, fezeu001, bilal021, carpe415",avteleoperation.umn.edu,CSE - College of Science & Engineering,
Simons Collaboration Superconductivity,prod,"superconductivity.dev.umn.edu, superconductivity.stg.umn.edu",bieve008,superconductivity.umn.edu,CSE - College of Science & Engineering,
Cold Climate Center of Excellence for Stormwater Infrastructure Technologies (CCCESIT),prod,"cccesit.dev.umn.edu, cccesit.stg.umn.edu","eric0706, mcdo0486",cccesit.umn.edu,CSE - College of Science & Engineering,
Center for Sustainable Polymers (CSP),prod,"csp.dev.umn.edu, csp.stg.umn.edu",hillmyer,csp.umn.edu,CSE - College of Science & Engineering,
Worsfold Research Group,prod,"worsfold.dev.umn.edu, worsfold.stg.umn.edu",worsfold,worsfold.umn.edu,CSE - College of Science & Engineering,
ASCEND,prod,"ascend.stg.umn.edu, ascend.dev.umn.edu",sang,ascend.umn.edu,CSE - College of Science & Engineering,
Yang Katie Zhao Lab,prod,"yangkatiezhao.dev.umn.edu, yangkatiezhao.stg.umn.edu",yangzhao,yangkatiezhao.umn.edu,CSE - College of Science & Engineering,
Richard James Group,prod,"james.dev.umn.edu, james.stg.umn.edu",james,james.umn.edu,CSE - College of Science & Engineering,
Precision Electroceutical Research Lab (PERL),prod,"perl.dev.umn.edu, perl.stg.umn.edu",penax025,perl.umn.edu,CSE - College of Science & Engineering,
UMN Kernel Object,prod,"kernel.dev.umn.edu, kernel.stg.umn.edu","kernel, jhkolb",kernel.umn.edu,CSE - College of Science & Engineering,
Electric Machinery and Levitation Laboratory,prod,"elev.dev.umn.edu, elev.stg.umn.edu",sever,elev.umn.edu,CSE - College of Science & Engineering,
photon.umn.edu,"test, prod","photon.dev.umn.edu, photon.stg.umn.edu",ilic,photon.umn.edu,CSE - College of Science & Engineering,
2024 Dusty Plasma Workshop,"test, prod","dpw2024.dev.umn.edu, dpw2024.stg.umn.edu","korts001, kumar749",dpw2024.umn.edu,CSE - College of Science & Engineering,
Quantum Electronic Device Laboratory,prod,"qiu.dev.umn.edu, qiu.stg.umn.edu",gqiu,qiu.umn.edu,CSE - College of Science & Engineering,
Stoerzinger Group,prod,"stoerzinger-cems.dev.umn.edu, stoerzinger-cems.stg.umn.edu",broa0036,stoerzinger.cems.umn.edu,CSE - College of Science & Engineering,
Walker Group,"test, prod","walker-cems.dev.umn.edu, walker-cems.stg.umn.edu",broa0036,walker.cems.umn.edu,CSE - College of Science & Engineering,
3D Electronics Center,prod,"3de.dev.umn.edu, 3de.stg.umn.edu, threede.umn.edu",mfburns,3de.umn.edu,CSE - College of Science & Engineering,
Next Generation AI Lab,"dev, test, prod","nextgenai.dev.umn.edu, nextgenai.stg.umn.edu","gini, boelt072, temes021, sylve057",nextgenai.umn.edu,CSE - College of Science & Engineering,
Quantum Phenomena School,"test, prod","quantum.dev.umn.edu, quantum.stg.umn.edu",suku0005,quantum.umn.edu,CSE - College of Science & Engineering,
sedexp,prod,"sedexp.dev.umn.edu, sedexp.stg.umn.edu, sedexp.net, www.sedexp.net",imxxx021,sedexp.umn.edu,CSE - College of Science & Engineering,
ECE WEC Resources,"test, prod","ecewec.dev.umn.edu, ecewec.stg.umn.edu",ung00001,ecewec.umn.edu,CSE - College of Science & Engineering,
2023 Midwest Workshop on Control and Game Theory,prod,"mwcgt2023.dev.umn.edu, mwcgt2023.stg.umn.edu",kdukart,mwcgt2023.umn.edu,CSE - College of Science & Engineering,
Wonjun Lee,"test, prod","wlee.dev.umn.edu, wlee.stg.umn.edu",lee01273,wlee.umn.edu,CSE - College of Science & Engineering,
Engineers Without Borders,"test, prod","ewb.dev.umn.edu, ewb.stg.umn.edu",capel001,ewb.umn.edu,CSE - College of Science & Engineering,
Geo-Processes in Mineral Carbon Storage,"dev, prod","gmcs.dev.umn.edu, gmcs.stg.umn.edu","renda003, jlabuz, scot0353",gmcs.umn.edu,CSE - College of Science & Engineering,
Circularity,"test, prod","circularity.dev.umn.edu, circularity.stg.umn.edu","renda003, alementi",circularity.umn.edu,CSE - College of Science & Engineering,
Center for Programmable Energy Catalysis,"test, prod","cpec.dev.umn.edu, cpec.stg.umn.edu, www.cpec.umn.edu",mcdo0486,cpec.umn.edu,CSE - College of Science & Engineering,
Cancer Bioengineering Initiative,prod,"cancerbioengineering.dev.umn.edu, cancerbioengineering.stg.umn.edu",mhoedema,cancerbioengineering.umn.edu,CSE - College of Science & Engineering,
Hogan Lab,prod,"hoganlab.dev.umn.edu, hoganlab.stg.umn.edu",hogan108,hoganlab.umn.edu,CSE - College of Science & Engineering,
Laboratory for Plasma Light Sources and Diagnostics,prod,"simeni.dev.umn.edu, simeni.stg.umn.edu",msimenis,simeni.umn.edu,CSE - College of Science & Engineering,
Neural Systems Engineering Summer,"dev, test, prod","nsereu.stg.umn.edu, nsereu.dev.umn.edu, nsereu.dl9.umn.edu",tnetoff,nsereu.umn.edu,CSE - College of Science & Engineering,
Douglas Research Group,"test, prod","douglas.stg.umn.edu, douglas.dev.umn.edu, douglas.dl9.umn.edu",schul132,douglas.chem.umn.edu,CSE - College of Science & Engineering,
Noland Research Group,"test, prod","noland.stg.umn.edu, noland.dev.umn.edu, noland.dl9.umn.edu",schul132,noland.chem.umn.edu,CSE - College of Science & Engineering,
High-Energy Solar Physics: Building on the RHESSI Legacy,"test, prod","rhessi18.stg.umn.edu, rhessi18.dev.umn.edu, rhessi18.dl9.umn.edu",astrong,rhessi18.umn.edu,CSE - College of Science & Engineering,
University of Minnesota - Physical Sciences-Oncology Center,"dev, test, prod","psoc.stg.umn.edu, psoc.dev.umn.edu, psoc.dl9.umn.edu",prahl025,psoc.umn.edu,CSE - College of Science & Engineering,
CAUSE,"dev, test, prod","cause.stg.umn.edu, cause.dev.umn.edu, cause.dl9.umn.edu",xion1300,cause.umn.edu,CSE - College of Science & Engineering,
Ilic Research Group,"dev, test, prod","iliclab.dev.umn.edu, iliclab.stg.umn.edu",ilic,iliclab.umn.edu,CSE - College of Science & Engineering,
Bowser Research Group,"test, prod","bowser-chem.dev.umn.edu, bowser-chem.stg.umn.edu",burke635,bowser.chem.umn.edu,CSE - College of Science & Engineering,
Earth Year Project,prod,"earthyear-esci.dev.umn.edu, earthyear-esci.dev.umn.edu",kirkby,earthyear.esci.umn.edu,CSE - College of Science & Engineering,
Hoye Research Group,"test, prod","hoye.stg.umn.edu, hoye.dev.umn.edu, hoye.dl9.umn.edu",schul132,hoye.chem.umn.edu,CSE - College of Science & Engineering,
Center for Neuroengineering,"dev, test, prod","www.cne.umn.edu, cne.stg.umn.edu, cne.dev.umn.edu, cne.dl9.umn.edu","mcdo0486, tnetoff",cne.umn.edu,CSE - College of Science & Engineering,
Scientific Computing,"test, prod","www.scicomp.umn.edu, scicomp.stg.umn.edu, scicomp.dev.umn.edu, scicomp.dl9.umn.edu",schul132,scicomp.umn.edu,CSE - College of Science & Engineering,
Weak Interactions and Neutrinos (WIN 2021),"dev, test, prod","win2021.stg.umn.edu, win2021.dev.umn.edu, win2021.dl9.umn.edu","astrong, marshak",win2021.umn.edu,CSE - College of Science & Engineering,
Mostafa Kaveh,"test, prod","mostafa-kaveh.dev.umn.edu, mostafa-kaveh.stg.umn.edu",zeeb0002,mostafa-kaveh.umn.edu,CSE - College of Science & Engineering,
HYP Lab,"test, prod","hyp.dev.umn.edu, hyp.stg.umn.edu",hyp,hyp.umn.edu,CSE - College of Science & Engineering,
AEM2022,prod,"aem2022.dev.umn.edu, aem2022.stg.umn.edu",barne003,aem2022.umn.edu,CSE - College of Science & Engineering,
Biogel Labs,"test, prod","biogellabs.stg.umn.edu, biogellabs.dev.umn.edu, biogellabs.dl9.umn.edu, biogellabs.umn.edu",aaksan,biogels.umn.edu,CSE - College of Science & Engineering,
Goodpaster Research Group,"test, prod","goodpaster.stg.umn.edu, goodpaster.dev.umn.edu, goodpaster.dl9.umn.edu",schul132,goodpaster.chem.umn.edu,CSE - College of Science & Engineering,
Gao Research Group,"test, prod","gao.stg.umn.edu, gao.dev.umn.edu, gao.dl9.umn.edu","schul132, jgao",gao.chem.umn.edu,CSE - College of Science & Engineering,
UMN GLOVEX,"test, prod","glovex.dev.umn.edu, glovex.stg.umn.edu",jusun,glovex.umn.edu,CSE - College of Science & Engineering,
Kirkby Teaching Resources,prod,"kirkby-esci.dev.umn.edu, kirkby-esci.stg.umn.edu",kirkby,kirkby.esci.umn.edu,CSE - College of Science & Engineering,
qzhe,"test, prod","qzhe.dev.umn.edu, qzhe.stg.umn.edu",qzhe,qzhe.umn.edu,CSE - College of Science & Engineering,
Lu Research Group,"test, prod","lu.stg.umn.edu, lu.dev.umn.edu, lu.dl9.umn.edu, lu.chem.umn.edu",schul132,lu.chem.umn.edu,CSE - College of Science & Engineering,
Neurotechnology Outreach-Resources-Training Hub for Successfully Translating Advanced Research,"test, prod","northstar-dl9.dev.umn.edu, northstar-dl9.stg.umn.edu, northstar.dl9.umn.edu",mcdo0486,northstar.umn.edu,CSE - College of Science & Engineering,
Ulya R. Karpuzcu,"test, prod","ukarpuzcu.dev.umn.edu, ukarpuzcu.stg.umn.edu",ukarpuzc,ukarpuzcu.umn.edu,CSE - College of Science & Engineering,
Minnesota NeuroSpin Initiative,prod,"neurospin.dev.umn.edu, neurospin.stg.umn.edu",mgustafs,neurospin.umn.edu,CSE - College of Science & Engineering,
zudovlab,prod,"zudovlab.dev.umn.edu, zudovlab.stg.umn.edu","jallan, acomb004",zudovlab.umn.edu,CSE - College of Science & Engineering,
Polymer Characterization Facility,"test, prod","polychar-cems.dev.umn.edu, polychar-cems.stg.umn.edu",mcdo0486,polychar.cems.umn.edu,CSE - College of Science & Engineering,
Neuromodulation Research and Technology Laboratory,"test, prod","neuromod.dev.umn.edu, neuromod.stg.umn.edu, neuromod.dl9.umn.edu, www.neuromod.umn.edu",mcdo0486,neuromod.umn.edu,CSE - College of Science & Engineering,
Natural Language Processing (NLP),prod,"nlp.dev.umn.edu, nlp.stg.umn.edu",dongyeop,nlp.umn.edu,CSE - College of Science & Engineering,
Koester NanoDevice Laboratory,"test, prod","kndl.dev.umn.edu, kndl.stg.umn.edu",skoester,kndl.umn.edu,CSE - College of Science & Engineering,
Mkhoyan Research Group,"test, prod","mkhoyan-cems.dev.umn.edu, mkhoyan-cems.stg.umn.edu, mkhoyan-cems.dl9.umn.edu",mcdo0486,mkhoyan.cems.umn.edu,CSE - College of Science & Engineering,
QuarkNet NOvA,prod,"quarknet-nova.dev.umn.edu, quarknet-nova.stg.umn.edu",pawloski,quarknet-nova.umn.edu,CSE - College of Science & Engineering,
Stein Research Group,"dev, test, prod","stein.stg.umn.edu, stein.dev.umn.edu, stein.dl9.umn.edu",schul132,stein.chem.umn.edu,CSE - College of Science & Engineering,
Roberta M. Humphreys,prod,"humphreys.dev.umn.edu, humphreys.stg.umn.edu","khand080, jallan, canf0019, roberta",humphreys.umn.edu,CSE - College of Science & Engineering,
SPINEWORK,prod,"spinework.dev.umn.edu, spinework.stg.umn.edu",baroc001,spinework.umn.edu,CSE - College of Science & Engineering,
The Laboratory of Molecular Therapeutics,"test, prod","sachslab.dev.umn.edu, sachslab.stg.umn.edu, sachslab.dl9.umn.edu",mcdo0486,sachslab.umn.edu,CSE - College of Science & Engineering,
Talkachova Lab,"test, prod","talkachovalab.dev.umn.edu, talkachovalab.stg.umn.edu, talkachovalab.dl9.umn.edu",mcdo0486,talkachovalab.umn.edu,CSE - College of Science & Engineering,
Barany Research Group,"dev, test, prod","barany.stg.umn.edu, barany.dev.umn.edu, barany.dl9.umn.edu","barany, schul132",barany.chem.umn.edu,CSE - College of Science & Engineering,
CSE-IT Drupal Lite Test Site,"test, prod","cseittest.dev.umn.edu, cseittest.stg.umn.edu",sgolley,cseittest.umn.edu,CSE - College of Science & Engineering,
Common Minerals,prod,"commonminerals-esci.dev.umn.edu, commonminerals-esci.stg.umn.edu",kirkby,commonminerals.esci.umn.edu,CSE - College of Science & Engineering,
Robert D. Gehrz,"test, prod","gehrz.dev.umn.edu, gehrz.stg.umn.edu",gehrz001,gehrz.umn.edu,CSE - College of Science & Engineering,
Paul R. Woodward,"test, prod","pwoodward.dev.umn.edu, pwoodward.stg.umn.edu",woodw001,pwoodward.umn.edu,CSE - College of Science & Engineering,
Charles E. Woodward,"test, prod","cwoodward.dev.umn.edu, cwoodward.stg.umn.edu",woodw024,cwoodward.umn.edu,CSE - College of Science & Engineering,
John Wygant,"test, prod","wygant.dev.umn.edu, wygant.stg.umn.edu",wygan001,wygant.umn.edu,CSE - College of Science & Engineering,
Evan D. Skillman,"test, prod","skillman.dev.umn.edu, skillman.stg.umn.edu",skill001,skillman.umn.edu,CSE - College of Science & Engineering,
M. Claudia Scarlata,"test, prod","scarlata.dev.umn.edu, scarlata.stg.umn.edu",mscarlat,scarlata.umn.edu,CSE - College of Science & Engineering,
Yong-Zhong Qian,"test, prod","qian.dev.umn.edu, qian.stg.umn.edu",qianx007,qian.umn.edu,CSE - College of Science & Engineering,
Clement Pryke,"test, prod","pryke.dev.umn.edu, pryke.stg.umn.edu",cspryke,pryke.umn.edu,CSE - College of Science & Engineering,
Vuk Mandic,"test, prod","mandic.dev.umn.edu, mandic.stg.umn.edu",vuk,mandic.umn.edu,CSE - College of Science & Engineering,
Robert Lysak,"test, prod","lysak.dev.umn.edu, lysak.stg.umn.edu",lysak001,lysak.umn.edu,CSE - College of Science & Engineering,
Keith Olive,prod,"olive.dev.umn.edu, olive.stg.umn.edu","olive, khand113",olive.umn.edu,CSE - College of Science & Engineering,
University of Minnesota - Biomedical Engineering Society,"dev, test, prod","bmes.stg.umn.edu, bmes.dev.umn.edu, bmes.dl9.umn.edu","turne845, pande138",bmes.umn.edu,CSE - College of Science & Engineering,
Shaul Hanany,"test, prod","hanany.dev.umn.edu, hanany.stg.umn.edu",hanany,hanany.umn.edu,CSE - College of Science & Engineering,
Lindsay Glesener,"test, prod","glesener.stg.umn.edu, glesener.dev.umn.edu",glesener,glesener.umn.edu,CSE - College of Science & Engineering,
Jungseok Hong,"test, prod","jungseokhong.stg.umn.edu, jungseokhong.dev.umn.edu, jungseokhong.dl9.umn.edu",jungseok,jungseokhong.umn.edu,CSE - College of Science & Engineering,
